education_id,EdLevel,candidate_id
1029,Master,1029
1030,PhD,1030
1031,Other,1031
1032,Undergraduate,1032
1033,Undergraduate,1033
1034,Other,1034
1035,Undergraduate,1035
1036,Other,1036
1037,Undergraduate,1037
1038,Master,1038
1039,Undergraduate,1039
1040,Master,1040
1041,Undergraduate,1041
1042,Master,1042
1043,Other,1043
1044,Undergraduate,1044
1045,Master,1045
1046,Undergraduate,1046
1047,Master,1047
1048,Undergraduate,1048
1049,Master,1049
1050,Undergraduate,1050
1051,Undergraduate,1051
1052,PhD,1052
1053,PhD,1053
1054,Undergraduate,1054
1055,Undergraduate,1055
1056,PhD,1056
1057,Undergraduate,1057
1058,Undergraduate,1058
1059,Undergraduate,1059
1060,Other,1060
1061,NoHigherEd,1061
1062,Master,1062
1063,NoHigherEd,1063
1064,Master,1064
1065,NoHigherEd,1065
1066,Undergraduate,1066
1067,Undergraduate,1067
1068,Master,1068
1069,Undergraduate,1069
1070,Other,1070
1071,Undergraduate,1071
1072,Undergraduate,1072
1073,Undergraduate,1073
1074,Undergraduate,1074
1075,Master,1075
1076,Undergraduate,1076
1077,Other,1077
1078,Master,1078
1079,Master,1079
1080,Master,1080
1081,Undergraduate,1081
1082,Undergraduate,1082
1083,Undergraduate,1083
1084,Undergraduate,1084
1085,Master,1085
1086,Undergraduate,1086
1087,PhD,1087
1088,Master,1088
1089,Master,1089
1090,Undergraduate,1090
1091,Undergraduate,1091
1092,Master,1092
1093,Other,1093
1094,Undergraduate,1094
1095,Undergraduate,1095
1096,Undergraduate,1096
1097,Undergraduate,1097
1098,Undergraduate,1098
1099,Undergraduate,1099
1100,Undergraduate,1100
1101,Undergraduate,1101
1102,Undergraduate,1102
1103,PhD,1103
1104,Undergraduate,1104
1105,Other,1105
1106,Undergraduate,1106
1107,Undergraduate,1107
1108,Undergraduate,1108
1109,Undergraduate,1109
1110,Undergraduate,1110
1111,Undergraduate,1111
1112,Undergraduate,1112
1113,Other,1113
1114,Undergraduate,1114
1115,Undergraduate,1115
1116,NoHigherEd,1116
1117,Undergraduate,1117
1118,Other,1118
1119,Master,1119
1120,Master,1120
1121,Other,1121
1122,Undergraduate,1122
1123,Master,1123
1124,Undergraduate,1124
1125,Undergraduate,1125
1126,Undergraduate,1126
1127,Master,1127
1128,PhD,1128
1129,Master,1129
1130,Undergraduate,1130
1131,Undergraduate,1131
1132,Other,1132
1133,Undergraduate,1133
1134,Master,1134
1135,Other,1135
1136,Master,1136
1137,Undergraduate,1137
1138,Undergraduate,1138
1139,Master,1139
1140,Master,1140
1141,Master,1141
1142,Master,1142
1143,Undergraduate,1143
1144,Undergraduate,1144
1145,Master,1145
1146,Other,1146
1147,Other,1147
1148,Undergraduate,1148
1149,Undergraduate,1149
1150,Master,1150
1151,Other,1151
1152,Other,1152
1153,Undergraduate,1153
1154,Undergraduate,1154
1155,Undergraduate,1155
1156,Master,1156
1157,Undergraduate,1157
1158,Undergraduate,1158
1159,Master,1159
1160,Undergraduate,1160
1161,Undergraduate,1161
1162,Other,1162
1163,Undergraduate,1163
1164,Undergraduate,1164
1165,Undergraduate,1165
1166,Other,1166
1167,Undergraduate,1167
1168,PhD,1168
1169,Other,1169
1170,Master,1170
1171,Other,1171
1172,Undergraduate,1172
1173,Master,1173
1174,Master,1174
1175,Undergraduate,1175
1176,Undergraduate,1176
1177,Undergraduate,1177
1178,Master,1178
1179,Master,1179
1180,Other,1180
1181,Undergraduate,1181
1182,Undergraduate,1182
1183,Master,1183
1184,Undergraduate,1184
1185,Undergraduate,1185
1186,Undergraduate,1186
1187,Master,1187
1188,Other,1188
1189,Other,1189
1190,Other,1190
1191,NoHigherEd,1191
1192,Master,1192
1193,Master,1193
1194,Undergraduate,1194
1195,Master,1195
1196,Master,1196
1197,Undergraduate,1197
1198,Master,1198
1199,Master,1199
1200,Other,1200
1201,Master,1201
1202,Undergraduate,1202
1203,Undergraduate,1203
1204,Undergraduate,1204
1205,Undergraduate,1205
1206,Master,1206
1207,PhD,1207
1208,Undergraduate,1208
1209,Undergraduate,1209
1210,Undergraduate,1210
1211,Master,1211
1212,Undergraduate,1212
1213,Other,1213
1214,Undergraduate,1214
1215,Undergraduate,1215
1216,Master,1216
1217,Undergraduate,1217
1218,Master,1218
1219,Undergraduate,1219
1220,Undergraduate,1220
1221,Undergraduate,1221
1222,Undergraduate,1222
1223,Undergraduate,1223
1224,Undergraduate,1224
1225,Master,1225
1226,Undergraduate,1226
1227,Undergraduate,1227
1228,Undergraduate,1228
1229,Master,1229
1230,PhD,1230
1231,Undergraduate,1231
1232,Undergraduate,1232
1233,Undergraduate,1233
1234,Other,1234
1235,Master,1235
1236,Master,1236
1237,Undergraduate,1237
1238,Undergraduate,1238
1239,Master,1239
1240,Undergraduate,1240
1241,NoHigherEd,1241
1242,Undergraduate,1242
1243,Other,1243
1244,Other,1244
1245,Master,1245
1246,Master,1246
1247,Undergraduate,1247
1248,Undergraduate,1248
1249,PhD,1249
1250,Undergraduate,1250
1251,Undergraduate,1251
1252,Master,1252
1253,Undergraduate,1253
1254,NoHigherEd,1254
1255,Undergraduate,1255
1256,Undergraduate,1256
1257,Undergraduate,1257
1258,Master,1258
1259,Other,1259
1260,PhD,1260
1261,Undergraduate,1261
1262,Undergraduate,1262
1263,Master,1263
1264,Other,1264
1265,Master,1265
1266,Master,1266
1267,Undergraduate,1267
1268,Undergraduate,1268
1269,Other,1269
1270,Master,1270
1271,NoHigherEd,1271
1272,NoHigherEd,1272
1273,Other,1273
1274,Master,1274
1275,Undergraduate,1275
1276,Undergraduate,1276
1277,Master,1277
1278,Other,1278
1279,Undergraduate,1279
1280,Master,1280
1281,Undergraduate,1281
1282,Undergraduate,1282
1283,Master,1283
1284,Undergraduate,1284
1285,Master,1285
1286,PhD,1286
1287,NoHigherEd,1287
1288,Undergraduate,1288
1289,Master,1289
1290,Master,1290
1291,Master,1291
1292,Master,1292
1293,Master,1293
1294,Master,1294
1295,PhD,1295
1296,NoHigherEd,1296
1297,Undergraduate,1297
1298,Master,1298
1299,Master,1299
1300,Master,1300
1301,Undergraduate,1301
1302,Undergraduate,1302
1303,Other,1303
1304,Undergraduate,1304
1305,Undergraduate,1305
1306,Undergraduate,1306
1307,PhD,1307
1308,Undergraduate,1308
1309,Undergraduate,1309
1310,Master,1310
1311,Other,1311
1312,Undergraduate,1312
1313,Master,1313
1314,Other,1314
1315,Other,1315
1316,Other,1316
1317,Undergraduate,1317
1318,Undergraduate,1318
1319,Other,1319
1320,Undergraduate,1320
1321,Master,1321
1322,Other,1322
1323,Undergraduate,1323
1324,Undergraduate,1324
1325,Undergraduate,1325
1326,Undergraduate,1326
1327,Undergraduate,1327
1328,NoHigherEd,1328
1329,Master,1329
1330,Undergraduate,1330
1331,Master,1331
1332,Master,1332
1333,Master,1333
1334,Other,1334
1335,Master,1335
1336,Undergraduate,1336
1337,PhD,1337
1338,Undergraduate,1338
1339,Master,1339
1340,Undergraduate,1340
1341,PhD,1341
1342,Master,1342
1343,Master,1343
1344,Undergraduate,1344
1345,Undergraduate,1345
1346,Master,1346
1347,Other,1347
1348,Undergraduate,1348
1349,Undergraduate,1349
1350,Undergraduate,1350
1351,Undergraduate,1351
1352,Undergraduate,1352
1353,Other,1353
1354,Undergraduate,1354
1355,Undergraduate,1355
1356,Undergraduate,1356
1357,PhD,1357
1358,Undergraduate,1358
1359,Master,1359
1360,Undergraduate,1360
1361,Undergraduate,1361
1362,PhD,1362
1363,Undergraduate,1363
1364,Undergraduate,1364
1365,Master,1365
1366,Other,1366
1367,Undergraduate,1367
1368,Master,1368
1369,Undergraduate,1369
1370,Master,1370
1371,NoHigherEd,1371
1372,NoHigherEd,1372
1373,Undergraduate,1373
1374,Master,1374
1375,Master,1375
1376,Undergraduate,1376
1377,Master,1377
1378,Undergraduate,1378
1379,Undergraduate,1379
1380,Undergraduate,1380
1381,Undergraduate,1381
1382,Master,1382
1383,Other,1383
1384,Master,1384
1385,PhD,1385
1386,Master,1386
1387,Undergraduate,1387
1388,Undergraduate,1388
1389,Master,1389
1390,PhD,1390
1391,Undergraduate,1391
1392,Undergraduate,1392
1393,Undergraduate,1393
1394,Undergraduate,1394
1395,Master,1395
1396,Master,1396
1397,Undergraduate,1397
1398,Undergraduate,1398
1399,Undergraduate,1399
1400,Master,1400
1401,Undergraduate,1401
1402,Master,1402
1403,Master,1403
1404,Undergraduate,1404
1405,NoHigherEd,1405
1406,Undergraduate,1406
1407,Other,1407
1408,Other,1408
1409,Undergraduate,1409
1410,Undergraduate,1410
1411,Master,1411
1412,Master,1412
1413,Master,1413
1414,PhD,1414
1415,Undergraduate,1415
1416,Undergraduate,1416
1417,Undergraduate,1417
1418,Master,1418
1419,Undergraduate,1419
1420,Master,1420
1421,Other,1421
1422,Master,1422
1423,Other,1423
1424,Undergraduate,1424
